datasetName,eventID,eventDate,decimalLongitude,decimalLatitude,countryCode,geodeticDatum,minimumDepthInMeters,maximumDepthInMeters,sampleSizeValue,sampleSizeUnit
del-mar-mooring,D20210926T211303_IFCB158,2021-09-26T21:13:03+00:00,-117.3165,32.92917,US,WGS84,0,0,4.336,milliliter
del-mar-mooring,D20210926T181303_IFCB158,2021-09-26T18:13:03+00:00,-117.3165,32.92917,US,WGS84,0,0,4.22,milliliter
del-mar-mooring,D20210926T151303_IFCB158,2021-09-26T15:13:03+00:00,-117.3165,32.92917,US,WGS84,0,0,4.482,milliliter
del-mar-mooring,D20210926T121304_IFCB158,2021-09-26T12:13:04+00:00,-117.3165,32.92917,US,WGS84,0,0,4.538,milliliter
del-mar-mooring,D20210926T091303_IFCB158,2021-09-26T09:13:03+00:00,-117.3165,32.92917,US,WGS84,0,0,4.578,milliliter
del-mar-mooring,D20210926T061303_IFCB158,2021-09-26T06:13:03+00:00,-117.3165,32.92917,US,WGS84,0,0,4.616,milliliter
del-mar-mooring,D20210926T031304_IFCB158,2021-09-26T03:13:04+00:00,-117.3165,32.92917,US,WGS84,0,0,4.562,milliliter
del-mar-mooring,D20210926T001304_IFCB158,2021-09-26T00:13:04+00:00,-117.3165,32.92917,US,WGS84,0,0,4.581,milliliter
del-mar-mooring,D20210925T211305_IFCB158,2021-09-25T21:13:05+00:00,-117.3165,32.92917,US,WGS84,0,0,4.328,milliliter
del-mar-mooring,D20210925T181304_IFCB158,2021-09-25T18:13:04+00:00,-117.3165,32.92917,US,WGS84,0,0,4.289,milliliter
del-mar-mooring,D20210925T151304_IFCB158,2021-09-25T15:13:04+00:00,-117.3165,32.92917,US,WGS84,0,0,4.166,milliliter
del-mar-mooring,D20210925T121306_IFCB158,2021-09-25T12:13:06+00:00,-117.3165,32.92917,US,WGS84,0,0,4.381,milliliter
del-mar-mooring,D20210925T091303_IFCB158,2021-09-25T09:13:03+00:00,-117.3165,32.92917,US,WGS84,0,0,4.554,milliliter
del-mar-mooring,D20210925T061303_IFCB158,2021-09-25T06:13:03+00:00,-117.3165,32.92917,US,WGS84,0,0,4.58,milliliter
del-mar-mooring,D20210925T031303_IFCB158,2021-09-25T03:13:03+00:00,-117.3165,32.92917,US,WGS84,0,0,4.558,milliliter
del-mar-mooring,D20210925T001302_IFCB158,2021-09-25T00:13:02+00:00,-117.3165,32.92917,US,WGS84,0,0,4.436,milliliter
